12756	7048	14
4020	7105	17
17	2457	0
101	9661	34
113	9304	9
127	8736	20
6416	5087	26
2615	7459	12
141	4785	3
1001	4458	5
117	5289	12
32833	7561	5
14	2981	29
5068	8024	6
241	5538	1
1352	8341	2
11832	3316	8
105	2339	20
103	7534	18
143	7716	3
101	5347	2
112	2844	17
110	983	4
7360	9248	0
118	2570	15
123	7288	12
279	3546	6
10168	2466	0
14	6541	31
1318	5777	11
101	89	37
14868	1414	14
13439	5619	16
37139	2340	3
242	7071	0
4624	4868	1
107	4985	15
131	2120	1
110	5681	4
110	7440	1
36868	6933	15
110	9779	3
577	4804	9
243	53	1
106	6495	6
117	2217	9
176	8405	14
111	7191	13
130	7949	7
34193	5145	14
937	8093	17
160	919	6
113	670	18
351	943	4
12	1447	6
1531	2267	11
136	4885	22
155	8112	31
2084	9016	2
14	6382	21
16140	1698	15
12	821	35
14	3756	31
1162	8040	14
105	5319	25
1312	6439	3
101	550	10
7534	7217	12
3192	5407	10
101	5505	28
1413	5135	5
7959	8987	24
2	3552	22
14	8589	21
1149	510	4
111	2993	15
20542	1494	14
21843	5202	0
1517	5562	8
1305	9297	12
106	8252	6
40656	9222	2
106	434	9
146	7901	37
110	2608	21
41327	1655	6
500	9276	14
225	6306	9
102	7272	10
14381	7816	9
6326	1429	26
280	6516	4
207	3892	23
17802	8217	28
14419	114	23
27743	2117	9
109	2908	12
38825	9847	1
14	3757	11
248	9074	9
242	4153	7
1313	3107	19
14	5922	26
923	9111	1
129	2689	6
11512	1415	17
414	9026	41
110	5233	6
134	1438	4
107	6588	2
3750	5796	0
14	708	26
169	1184	21
523	7727	5
1705	764	2
14903	8292	17
4758	3745	17
36355	9137	26
1806	9017	2
971	5180	26
138	2963	12
118	7688	7
115	7018	16
135	5497	26
1819	3501	19
14	3777	17
137	7065	17
1825	9646	12
122	4788	0
11190	9918	6
199	4333	16
182	449	25
37210	4079	28
211	9550	11
12	516	10
2006	7654	16
229	1877	6
12	9733	17
12	8238	15
7948	693	4
119	1912	28
1175	1456	11
328	3374	20
138	4434	27
184	8805	21
661	9278	10
118	4974	6
2	577	23
4492	7179	12
546	4675	8
191	4500	15
1203	8871	17
126	5306	17
1574	9965	32
20453	6897	11
1208	9170	5
37096	1231	12
17424	9821	4
124	274	11
6839	8914	18
10683	2088	13
21367	493	2
26413	216	1
17746	298	8
12	195	10
106	9561	30
555	3474	19
27035	705	1
9955	7974	43
169	5889	17
2417	8776	19
102	6413	18
1682	6586	8
11779	4460	6
10356	3530	0
1567	5613	3
1354	6856	39
23936	7331	14
101	140	4
36068	8162	37
7607	7093	28
2	8747	16
170	2056	0
26297	9074	0
7307	219	14
122	5629	0
1538	1111	5
219	8263	28
727	2187	9
606	2133	38
10340	7109	8
120	2256	21
130	2469	1
31981	5288	2
957	7499	0
17	9585	14
5573	9828	28
20587	3655	6
17654	5228	8
144	1544	8
17949	871	0
19800	6977	12
3650	393	3
14	5229	8
155	8916	25
109	6071	17
11969	4254	4
107	9475	33
5464	3229	10
2124	8811	2
12	8814	13
117	6316	7
224	3878	11
107	6899	16
1074	3584	2
280	2772	20
10103	7190	11
33605	5616	10
101	9227	9
101	7976	11
101	6374	9
261	7481	12
12	327	25
11263	9791	0
164	2400	4
29708	2229	15
302	6226	6
245	5399	12
101	3650	14
115	622	2
1218	5485	5
199	7709	35
21919	6031	0
412	1628	26
117	4077	28
114	3393	9
1423	8219	31
2532	7378	23
104	9363	32
194	6910	25
119	3839	22
9006	3924	4
627	8086	8
109	3031	15
176	3967	7
523	9002	12
158	9115	1
137	1565	7
19209	7296	4
3225	9157	4
3394	6477	10
127	1992	18
104	6434	7
360	4361	5
3115	8341	16
107	9079	9
116	2531	13
3502	9919	1
426	3198	7
212	8837	0
16657	445	0
116	4040	19
107	4183	18
122	280	17
141	2419	5
114	9869	9
765	7235	8
101	6499	14
170	1957	0
1045	9192	49
606	8732	33
35323	4231	14
6005	4575	29
101	8008	16
105	8171	9
12	2821	22
21853	6821	11
411	8211	4
9157	6287	12
156	4341	0
130	8621	16
11504	7699	20
35867	784	13
148	1838	22
241	1792	20
21302	677	8
880	7987	2
1984	2048	12
2053	1191	28
110	3571	2
2289	7239	20
101	6855	4
133	7311	16
101	5672	3
4752	5634	17
5702	4554	4
107	63	18
1522	5489	22
627	1560	13
35989	4579	13
14	6983	10
14628	5990	1
604	7238	2
8	1604	23
864	1298	10
4916	5849	33
1098	2192	21
123	2737	5
182	7811	27
13440	1397	1
2740	64	2
30546	8581	16
23711	7447	0
315	1917	0
102	8556	23
40350	2819	13
14	939	17
101	4098	9
157	696	16
1908	3663	11
1422	9343	16
153	9082	22
31627	2696	14
240	4064	9
12	326	13
12	1672	15
1388	9145	13
103	8590	7
1492	6498	0
808	7543	10
126	8370	5
17550	7133	15
102	9600	9
3484	4209	8
10	5938	9
172	8445	20
27176	2030	23
18836	7	23
782	9473	36
102	4684	12
112	6457	6
101	5807	1
13869	4942	10
101	237	11
12	5280	13
18811	1614	8
126	6197	13
262	6360	4
32210	6328	14
102	1615	16
386	6793	34
7482	7464	21
2127	5667	11
133	6083	27
30296	6736	24
614	248	4
101	1993	5
9476	9521	3
103	4802	6
101	2755	30
131	7944	14
114	4075	7
14	1516	21
3276	4697	15
3913	5219	3
14	3789	16
2118	4745	36
14	7397	18
102	5480	2
26008	8830	0
187	3072	28
6587	6945	17
107	5649	2
1347	3594	1
8447	7886	4
116	5357	12
308	1900	17
9154	2250	31
18788	2814	4
27885	1073	2
104	8812	11
107	1370	10
27167	4187	8
33170	4220	7
507	7299	25
14	8135	14
36345	9317	4
113	4532	21
110	5712	11
110	3325	6
102	9969	34
154	9809	20
24292	6126	19
11071	9792	16
618	8644	0
4375	7588	10
30365	3712	22
158	6046	0
104	70	14
979	9733	5
204	6322	19
108	255	2
920	1342	18
12	7596	4
110	7984	24
111	1764	34
120	1650	5
3764	2822	1
117	9866	6
102	4192	20
39956	4880	7
165	5614	11
148	495	4
102	2856	5
14	677	21
121	3228	0
6456	1462	14
101	3183	2
134	6968	14
545	2249	12
101	8462	10
136	5181	25
10109	4135	20
18346	3525	16
1153	3413	3
7	5177	13
14	3566	24
14	8554	12
114	39	8
495	3077	2
1480	9562	3
111	119	19
753	9434	2
14053	6220	5
12	2570	6
123	7192	23
105	1097	20
101	6537	2
12842	2214	2
4544	693	3
161	9270	10
7636	6017	22
108	1042	8
865	6264	13
28605	8641	3
2840	5987	7
193	1207	22
1641	6543	11
117	4544	21
126	9686	9
127	5963	10
5608	1975	8
116	239	4
101	3752	2
35768	265	33
121	3675	0
214	465	34
9	5035	31
147	2502	1
123	1587	12
11743	4791	1
12245	8451	12
2089	6073	19
142	6860	0
102	9358	13
2270	1569	14
102	6243	13
14	4590	29
27389	7480	20
211	7110	14
103	7050	7
727	8079	14
118	2757	4
105	2057	3
1429	1819	17
17008	678	0
102	5285	12
14	5641	25
130	5504	3
102	743	6
135	3505	18
167	6149	26
113	5488	25
14	8645	28
33419	6038	2
133	2925	26
101	3365	14
600	8653	9
101	2830	16
22823	8263	8
125	7452	1
1371	206	13
18703	7360	13
442	8471	17
205	7609	31
45	4298	34
430	5521	5
1153	6649	15
339	8040	11
14	1057	27
8599	5665	22
156	4437	0
8	4385	31
10101	2333	0
346	7969	3
117	1161	5
1481	9404	5
2460	1210	2
147	4641	0
2	7495	29
194	6394	19
128	1548	20
6522	7864	6
4078	8610	16
1275	7791	3
37689	6107	17
290	3681	13
2954	1634	2
12389	2573	7
10172	2835	7
9972	8510	17
24013	9743	6
21215	6802	31
13653	6415	9
23871	4820	23
12	1384	13
101	8386	16
175	6641	20
124	1373	4
30949	3318	1
559	9822	27
1144	1834	24
15001	3449	6
521	1376	19
7576	7419	24
14	6872	39
18909	1451	0
102	1266	33
509	7686	10
107	8158	1
107	2460	11
638	2000	0
24406	8553	15
7970	9538	34
7656	6575	11
12	2147	2
304	9083	22
390	8208	2
24947	8413	0
168	8553	9
149	7809	9
8969	3466	23
10804	5541	44
19378	7784	7
901	8529	1
15789	7640	4
845	657	21
173	1115	3
1161	3784	9
4296	1710	2
3157	2675	2
124	6493	1
129	5832	30
35999	1924	9
3101	3665	7
113	2066	2
125	2746	3
138	6864	15
26798	6887	25
1576	9662	3
12	5219	7
109	6809	25
14	4999	25
111	9432	12
1888	3990	20
456	4567	9
8425	8462	9
1351	2400	35
120	2611	6
123	6611	11
5671	5647	3
35113	7569	14
112	5283	32
3732	7147	14
6977	2270	0
117	1856	1
110	5018	3
252	4001	2
8936	9072	12
106	5394	4
12	4323	3
12	9930	26
1031	4898	16
107	7190	17
2597	3045	20
348	3180	16
262	504	5
5108	9374	5
35381	8930	21
6618	3410	18
14	3151	12
34966	3271	10
142	7205	0
9661	22	16
132	8039	14
16827	6987	18
109	8662	1
104	2048	11
171	4174	2
14	7768	35
101	2915	30
101	4139	15
3122	7609	34
133	2031	19
599	2219	19
14	7022	12
8	4143	27
165	5997	3
101	9638	28
9	611	31
134	755	23
893	780	31
102	7042	27
942	9962	11
14	6347	18
11638	5283	14
144	8676	4
175	3929	18
101	6894	2
1519	3487	3
5779	2147	11
118	1506	19
2	4838	28
101	9731	2
622	8112	42
108	2232	19
102	4834	8
1320	1875	17
1054	3110	1
3711	2094	16
5577	655	3
101	3668	37
983	7494	1
14254	1710	16
107	6842	13
21167	9514	13
103	5868	6
1073	8461	7
297	9993	4
190	5212	1
277	8884	10
2898	8570	8
645	5041	1
7830	8251	10
125	4667	22
192	1689	0
101	1065	7
432	8193	12
36760	4438	9
338	1248	10
111	1284	32
947	1153	7
12	1249	11
121	3388	0
103	3939	23
13340	6281	24
160	5842	23
139	691	10
109	7257	31
142	5444	7
4700	3338	31
101	3691	8
101	6185	2
101	6604	30
770	8660	13
5908	6601	30
12	7181	16
9	9066	18
103	2796	3
108	3505	17
31023	493	20
18721	1286	0
1432	8251	4
10352	3002	0
127	4868	5
129	5829	11
12	1955	12
9	3821	23
2058	4138	2
39270	173	26
129	803	11
165	1217	18
567	1253	8
103	8172	14
128	2088	18
131	1124	12
12	5024	16
9	9731	11
136	5278	8
173	4528	22
166	1294	18
12	3878	3
24795	9990	15
1120	9843	4
236	5985	20
213	523	4
106	9585	12
23716	7454	0
101	3595	19
106	4797	9
9	4845	18
431	9368	15
1704	6004	22
12311	8854	12
14	2565	29
14	5990	18
3175	6897	7
116	9091	12
12400	5366	10
36450	1983	24
861	2634	18
126	6433	35
110	8285	1
119	5147	6
1629	4509	8
354	5719	4
105	4207	15
109	7225	4
107	5399	13
139	2071	8
1008	2384	18
202	4492	20
329	5491	30
101	4969	8
102	1278	32
12	234	12
101	2500	5
159	8026	14
202	3606	34
2553	1093	35
129	7523	12
196	265	23
114	7301	8
114	8296	8
104	7424	6
113	5072	4
910	5202	17
14	3119	23
12	6150	23
112	2329	15
101	9985	7
952	6940	3
21731	4723	13
19925	794	20
5316	453	16
3207	1271	5
167	3213	5
130	3020	5
14	5414	16
3743	6936	5
8	1327	22
14	4877	14
109	8405	16
32767	1559	7
107	689	15
3617	3762	24
746	4903	18
108	5799	34
6361	4008	6
6908	2492	8
22760	9945	4
759	8002	8
186	6210	1
250	3400	3
108	6932	2
2314	293	4
320	7989	5
104	833	21
114	5475	13
5898	3011	9
14	5189	26
2704	9889	14
286	6161	8
211	9575	13
3655	5477	18
143	3371	3
105	5827	19
416	577	1
230	8096	37
3331	50	21
5936	9550	33
12	3879	23
102	1935	11
634	4135	4
111	3729	11
1128	5998	21
17399	2394	7
1359	6476	20
12870	6557	10
1051	2481	6
2493	7991	9
17979	3461	6
3409	855	4
175	8123	5
39865	3235	3
2775	6737	30
14521	1306	14
115	11	7
116	1454	15
2162	1831	23
33690	5123	8
102	3850	4
14	3494	17
109	9427	2
177	3802	14
1039	5370	6
28925	8721	11
2962	326	25
725	1677	18
101	1186	4
103	6018	25
2651	207	8
103	3274	8
12979	2546	13
265	9561	21
7056	1200	9
103	1324	13
14491	9949	8
122	4884	0
426	6233	8
14	8704	25
187	4077	11
172	3966	27
135	5436	6
38427	8856	5
107	9173	12
135	667	16
34968	1087	4
2594	5670	16
2140	5876	32
429	2808	15
101	2350	9
12	5698	10
2376	7169	6
434	1889	4
3923	17	10
3244	6741	14
1761	211	22
578	4580	27
144	550	8
155	5880	30
102	3980	18
14	4163	8
293	935	7
112	2071	11
3603	5698	13
24000	9923	32
102	8365	24
35982	9067	31
2730	5040	2
132	8802	7
14	2222	7
20551	6098	10
189	4212	18
1103	4746	27
101	6470	9
105	3650	6
145	9794	1
16632	6937	17
109	5206	7
12274	3693	3
376	1600	0
104	4321	5
20259	6603	27
152	9041	22
117	6702	27
107	6548	16
656	5886	12
9673	4990	5
109	8541	2
124	5908	9
1111	2816	5
31493	8916	16
671	7973	0
30380	2465	16
12	7744	7
1718	6387	0
413	6811	8
261	8123	16
350	8975	1
117	1292	2
114	1952	23
339	3139	24
19909	5770	14
342	2820	31
110	3857	5
149	6794	14
4575	2535	20
107	6793	33
7596	2221	22
1606	9588	10
101	648	14
7116	8265	8
24732	5533	2
106	1398	5
12	7698	11
106	9963	16
140	8876	8
106	7213	14
14574	26	9
7262	7978	0
11288	8193	20
2286	9818	11
3611	1792	10
1641	5629	11
2836	1844	13
116	8217	16
154	3749	13
157	2856	10
3369	122	16
236	285	8
14294	7124	22
26752	3323	2
8871	8769	34
14	282	14
6029	2224	3
216	7738	4
8382	8322	11
8	5146	10
8294	2940	38
102	1882	5
5216	4988	9
39805	5661	35
14	2300	11
5407	9869	16
6285	3496	11
118	9212	19
14	8162	38
103	1407	21
101	4497	10
1494	8986	13
11293	4432	16
123	6383	24
4090	1976	7
14	8210	23
200	3031	3
109	5066	9
17246	9672	28
113	7779	11
14	6110	18
6331	9561	29
136	5857	8
20999	6772	8
12	4154	12
4386	3355	3
324	2645	11
12	83	24
415	3139	2
1884	9640	16
156	8548	4
1607	8514	9
6561	3413	26
683	3015	15
135	2536	25
132	5144	6
1563	3955	5
12	8048	21
106	8263	12
14126	9041	6
12	5023	18
