166	1021	6	56.73
101	6296	3	15.5
2049	104	3	11.87
135	3091	6	62.49
101	228	17	21.25
131	2060	3	22.4
119	317	7	27.42
118	4233	5	46.65
135	292	7	35.78
101	4947	4	21.64
105	432	4	7.32
233	203	3	16.01
104	1984	5	24.75
206	131	34	241.73
119	1593	4	25.3
1657	101	6	21.32
106	3223	3	16.86
558	101	14	43.12
124	3221	3	23.8
108	292	7	17.15
928	109	3	9.65
101	1454	6	19.42
416	298	6	57.67
112	428	10	44.43
3763	14	3	10.66
1792	14	5	14.58
238	120	3	5.11
3636	102	3	13.39
515	155	3	17.5
543	14	6	6.45
7314	107	3	26.53
112	220	7	14.08
554	102	4	5.99
1066	2440	4	61.59
119	1160	10	77.28
109	849	4	14.52
295	108	5	9.47
672	281	3	27.1
6250	101	3	15.5
1405	101	15	92.25
164	266	7	45.33
2695	101	4	14.57
171	249	20	176.33
101	4842	3	13.34
101	2846	3	9.71
140	1162	6	48.52
1373	101	3	5.11
106	928	3	8.76
110	2397	3	15.78
701	102	3	4.17
6402	14	3	14.3
845	127	3	15.6
106	860	7	31.61
1363	116	3	14.49
192	109	8	11.55
124	930	4	22.97
1514	102	5	19.3
107	264	4	4.29
102	1270	6	23.17
105	741	9	41.54
134	189	5	14.39
1685	12	3	4.77
850	149	10	93.46
106	416	33	214.63
1352	103	3	9.1
1575	12	4	8.01
3434	12	3	9.07
101	1759	3	6.62
154	558	3	17.85
124	1184	4	25.01
325	115	7	24.06
267	103	5	4.75
2619	108	3	15.89
904	101	5	9.66
1430	108	3	12.06
113	447	5	16.43
140	1023	3	18.99
125	194	3	4.94
8	562	3	9.72
131	383	6	31.82
245	107	11	28
119	1848	3	18.05
12	488	8	9.87
194	114	5	6.2
131	587	5	29.35
1445	109	3	12.12
321	117	14	73.01
1306	102	3	7.56
211	144	3	8.64
12	107	454	544.39
152	771	3	19.61
1319	14	6	16.34
490	1543	3	36.17
151	2708	3	27.32
6069	12	3	13.84
209	115	15	53.45
102	713	8	25.82
121	337	3	7.63
107	1743	3	12.73
121	270	4	10.39
543	931	3	33.81
8425	101	3	19.93
109	2833	3	16.8
5494	7396	3	68.86
124	6357	3	28.84
127	2068	3	21.2
101	794	4	5.37
17	138	5	9.49
177	115	19	64.52
101	734	4	4.71
106	247	6	8.77
12	3825	3	10.22
134	4857	3	28.89
998	2263	10	190.12
1689	104	4	16.24
218	124	3	5.54
149	113	8	5.82
183	144	6	21.89
103	1272	3	8.76
124	217	3	5.51
101	843	5	9.3
101	632	5	6.71
231	232	18	172.17
104	233	8	10.44
123	4195	3	24.65
129	150	5	6.97
346	203	4	28.17
163	3673	3	31.79
170	165	3	9.86
8052	125	3	33.87
101	4664	3	13.34
4629	101	3	13.34
105	960	8	39.68
120	516	4	16.09
720	110	3	8.69
200	103	8	7.12
164	940	9	90.84
370	512	3	27.59
1279	106	4	16.38
125	431	4	17
137	262	4	14.84
141	2699	3	25.1
1745	116	5	33.04
332	14	8	5.45
910	117	3	12.77
228	251	11	95.16
548	449	4	41.47
486	116	4	13.41
458	109	5	13.92
174	113	9	16.26
128	226	16	87.38
113	474	4	11.89
2519	104	4	20.46
128	184	3	4.56
121	424	4	14.26
119	1831	3	17.51
301	136	3	10.57
194	128	24	137.65
12	505	7	7.64
969	101	8	24.52
587	140	4	23.16
5486	101	3	15.5
205	198	4	21.36
3226	101	4	17.23
2177	101	4	12.66
341	734	3	28.89
109	1448	5	25.84
246	118	3	4.92
1509	12	6	17.18
408	108	3	4.88
120	263	3	5.87
696	12	6	8.15
106	465	3	4.9
137	1277	6	48.97
3824	14	5	25.87
2509	102	3	11.58
120	721	8	49.48
104	942	5	16.9
107	249	23	93.78
118	790	7	41.61
991	12	4	4.93
1442	101	5	14.15
104	2162	4	18.47
314	176	5	33.43
610	106	14	75.33
2841	106	3	15.86
162	151	3	6.2
112	134	83	322.25
6320	101	3	15.5
1022	12	4	5.23
1471	245	4	43.08
152	4710	3	32.1
103	831	4	10.75
1274	119	4	23.02
175	254	3	15.05
108	442	5	13.65
134	2006	3	22.16
143	276	4	16.91
3453	14	3	9.51
109	800	3	8.75
193	288	4	25.56
108	340	4	7.05
1854	14	4	10.39
2217	163	6	65.13
121	2474	3	19.66
12	6771	3	18.24
113	2584	4	26.45
141	1021	3	19.09
786	137	4	25.03
110	1844	3	14.01
266	105	5	6.29
618	103	9	34.39
4861	12	3	11.71
1960	12	3	5.63
112	445	5	15.77
101	7619	3	19.93
393	112	3	5.85
122	595	10	66.07
181	119	4	4.86
605	101	15	52.29
155	496	12	104.8
12	2555	3	7.37
111	2909	3	17.39
173	2178	3	29
105	2892	3	15.42
112	1153	9	58.54
1460	106	6	31.73
4136	153	4	44.19
1017	108	3	10.11
115	1379	11	86.86
115	7528	3	29.67
3809	101	5	27.88
995	104	3	7.61
101	3150	3	10.66
105	381	7	18.35
104	687	6	18.6
114	702	3	9.74
107	1444	6	32.15
101	1165	4	7.73
112	214	17	59.89
410	112	5	14.7
4288	103	3	16.25
103	708	5	13.96
137	894	4	25.99
128	747	4	22.26
