10118	1537	17
122	5599	0
243	5851	1
5617	4446	13
11942	9481	1
111	3357	19
109	2458	24
107	5878	27
102	2313	8
152	8624	3
3023	5364	1
117	6848	2
106	9425	12
125	3572	4
4227	7732	1
178	129	7
2293	467	7
124	979	16
2868	3085	8
2376	3121	0
197	7264	10
183	7461	23
833	8364	17
144	613	15
1712	7755	12
109	3568	16
111	6430	15
109	2622	18
102	7434	20
120	9999	1
114	5002	13
27501	8271	7
684	3792	34
147	6407	2
31493	5704	19
130	32	13
406	345	6
12	2091	11
2622	2191	2
106	1787	9
187	52	0
119	1417	14
802	4966	5
214	2720	2
314	6264	16
130	6218	0
1752	4423	5
12	617	4
115	9984	18
29424	4256	4
182	9381	19
117	1153	17
1449	6687	11
248	216	2
8	2440	18
2422	1681	1
11028	8389	1
122	5912	0
45	6488	10
102	239	13
4074	1223	6
101	5121	18
104	9541	16
647	7606	37
9486	9664	27
2081	4794	11
115	9381	12
109	5531	9
137	3603	11
111	9936	7
257	2003	19
1011	7474	9
30240	2264	6
105	7591	10
14	1961	30
14	2886	25
115	2949	18
7098	7204	4
7767	2578	1
45	5021	7
7488	2249	36
19834	6943	19
104	6569	4
114	4877	15
102	4450	17
1373	8817	11
4774	8145	8
1698	6918	7
114	3404	28
1435	2351	16
101	4361	4
22166	8434	29
102	553	25
429	8804	9
101	6043	33
1245	1879	18
7660	4134	4
8724	7218	23
4495	7980	12
2207	4473	13
505	2444	7
4868	8354	13
101	6540	11
7659	2021	20
617	1772	9
384	1680	23
12660	5340	28
127	2485	4
16	7672	2
12	2195	36
105	5632	25
235	2055	5
12815	9584	8
111	1395	4
25304	6538	30
20794	9863	7
2204	1779	8
256	9005	2
107	1077	1
104	5418	25
153	8410	1
1494	8937	21
121	5571	14
141	2764	7
17570	5376	4
117	4939	9
112	1369	24
143	6479	3
108	5048	11
161	3354	3
109	7987	10
109	592	5
234	3400	1
23465	4040	7
12	2689	5
444	8209	1
198	9035	29
8872	4698	5
2033	5677	26
2288	2085	7
12	1931	30
115	427	7
111	8161	36
113	3170	32
3363	557	2
115	8229	8
3820	9842	16
12	1356	30
31903	6597	18
16515	8118	1
123	8213	1
128	3437	4
104	1006	5
462	9570	4
121	8493	23
107	8686	43
27101	9516	7
29923	3965	6
13673	6259	30
14	8111	9
14	4636	41
875	2222	7
1132	5466	22
4337	306	10
102	5127	9
9	4358	20
30221	1843	9
101	4224	2
1815	3037	17
106	1687	19
1943	8851	13
417	3910	7
109	9839	39
123	8212	21
258	7665	0
9528	6641	6
104	2347	8
155	2301	5
615	9096	3
20093	9722	17
518	6758	25
114	1089	1
32288	4399	29
106	8854	8
27676	3389	7
102	9697	6
102	929	11
6015	6584	11
619	7266	16
5527	2458	16
301	637	0
3575	8743	3
101	8772	17
864	7987	11
104	6596	10
140	8775	9
107	8909	35
12	4716	10
103	835	27
582	7229	12
167	3242	4
4770	7941	10
517	7918	1
103	6155	10
2246	3212	17
4354	1756	7
23371	2784	1
4120	8373	13
12	7291	32
11138	4011	24
151	2940	0
12193	7891	26
101	6950	5
306	3493	29
8789	1893	4
430	1770	12
3756	4463	1
115	877	19
23387	9996	24
108	9780	12
123	4916	14
12	2917	13
32456	417	37
14	5129	14
16674	1993	22
941	2725	9
1348	913	5
103	2757	5
121	1769	9
189	852	7
158	5171	2
269	774	5
271	8327	6
444	2649	18
105	3809	23
795	95	31
101	1862	27
101	8419	10
120	770	27
4535	5439	6
7264	9449	13
101	9685	37
19826	3840	8
14	8327	12
209	671	19
664	2619	13
119	3171	10
129	9289	17
785	7773	22
107	2109	31
14	3258	35
4403	8618	13
590	7361	20
16	2642	1
2252	982	7
101	4768	27
103	7352	34
101	2863	10
101	5708	5
109	561	10
104	173	22
30372	1728	9
101	491	19
101	9806	2
2033	3160	35
16	2197	1
3059	5075	30
106	9307	27
376	9189	6
12	2784	10
12	3374	8
1877	4678	5
1458	8363	7
14	9614	14
14	4282	38
3685	5514	2
101	5608	15
12	9253	8
512	1850	5
5233	3762	11
11212	8072	1
6981	161	4
23649	7016	14
29504	5271	29
14234	8355	42
12	613	5
7767	3066	8
14	6619	33
102	6158	3
22107	3477	24
109	6520	15
4247	1659	22
201	7689	6
22186	2583	36
14	8952	35
119	6402	8
26612	7236	26
12	2027	5
1768	3236	14
104	6208	25
102	226	24
2065	1145	17
473	3500	11
839	7509	9
12	7906	2
139	1529	16
24331	1013	10
22693	3971	21
2180	3162	10
408	7289	6
108	9939	21
1725	5190	7
4832	792	10
12	4298	5
1707	519	21
5428	8909	32
2203	2718	4
138	6583	15
7881	8873	19
107	6676	9
8548	1965	0
102	9600	9
1194	8889	25
299	5115	18
101	2984	8
137	3964	0
1555	6782	13
472	8835	6
4439	7683	5
1285	8160	31
107	5918	18
4309	8961	11
103	4648	10
1083	6135	17
12	5445	17
12	9068	8
386	2245	38
30547	2140	9
12	1324	5
501	9731	1
129	4705	28
2545	7925	11
1953	1858	10
119	8204	6
807	4374	7
103	8896	1
2157	2185	13
141	7527	16
101	9132	24
4161	5347	6
118	4651	17
107	2262	7
206	4663	3
206	8757	4
1012	8545	0
29139	9330	23
3757	1248	18
115	9504	11
12	8226	14
1079	2425	1
32403	5113	14
114	7144	27
45	4540	10
101	8200	18
135	7131	10
102	8868	7
107	1949	10
101	2882	4
101	1965	3
310	1	10
208	3839	10
22295	1432	16
113	4177	9
5529	2846	31
5693	2912	6
10420	1071	8
131	301	27
13020	8526	24
102	1990	22
14	5827	27
362	1769	1
3404	1751	22
874	2339	28
106	7161	9
12	875	1
800	3913	21
7577	2994	32
1215	2979	8
104	1928	12
5319	6751	16
164	4192	11
434	6724	5
14	6253	10
17341	1878	5
103	108	18
136	2033	19
200	3402	18
5321	5126	32
14	5479	17
400	9788	18
3073	6362	8
116	3427	9
170	4457	0
104	5188	6
3285	8941	2
114	7941	17
1131	3368	8
875	7022	12
115	7090	36
175	9305	11
8	6407	11
130	6119	0
121	9546	10
126	309	2
103	5515	6
29842	5255	3
125	7769	1
2794	4555	16
14	7112	20
