1385	12	3	5.92
104	698	7	29.69
2255	372	7	114.02
5218	5703	3	71.68
107	1567	6	42.54
9	126	6	5.16
1920	14	5	17.17
1626	2335	3	49.9
127	120	48	174.75
2175	14	3	7.43
276	117	3	5.96
581	136	3	15.58
212	161	3	10.78
923	108	7	44.03
102	251	7	5.51
2054	108	4	27.77
170	110	8	13.06
119	2116	4	30.74
387	220	4	30.25
102	452	15	58.69
101	1195	9	47.52
675	12	5	7.46
1479	119	3	18.53
230	126	3	6.67
120	462	5	22.96
1919	130	3	22.81
1528	111	3	16.81
288	132	6	26.54
166	297	6	36.93
337	109	3	6.11
567	12	9	20.44
118	362	5	18.77
875	16	3	13.71
1796	964	8	144.45
137	172	3	4.89
168	177	3	9.67
107	1744	6	44.22
609	110	10	60.08
109	12	108	33.03
880	330	3	31
142	306	3	10.89
102	1779	6	32.82
2	345	3	5.87
133	111	17	23.36
888	295	6	69.21
613	105	6	25.73
520	185	4	30.62
526	235	18	219.84
106	3569	4	33.22
105	1635	4	23.2
2721	1354	4	70.36
126	383	32	295.14
16	45	7	8.17
101	3284	3	15.21
139	195	3	6.56
246	102	11	15.62
1316	12	4	9.56
4970	131	3	34.24
113	484	3	9.4
102	657	3	4.45
2	1512	4	23.75
119	529	3	11.38
2337	101	4	19.71
101	730	3	4.87
125	101	67	88.18
625	109	3	10.45
218	102	13	18.24
129	106	24	39.27
165	143	4	7.8
236	12	14	11.39
129	231	3	7.11
134	385	5	25.18
113	1166	3	15.35
142	575	11	90.86
366	291	3	23.01
104	229	49	257.42
118	2631	3	22.74
105	1092	6	34.81
126	1239	4	28.88
4846	661	3	52.85
178	166	6	26.24
993	119	7	50.22
841	14	7	15.56
107	842	3	11.87
763	776	3	36.35
228	455	4	32.73
16	252	4	8.23
1254	12	3	5.46
152	141	31	162.84
103	321	10	25.97
235	123	78	708.38
12	1553	4	11
192	165	4	15.53
225	456	3	22.57
1502	108	3	16.33
965	101	5	15.81
706	262	3	26.79
1062	111	3	14.33
1413	130	4	30.42
659	14	8	15.85
102	2200	4	18.53
102	2132	3	11.73
252	637	3	25.76
279	166	4	20.71
859	119	3	14.61
2334	113	4	30.14
121	5046	3	31.6
107	3652	4	33.42
1698	12	3	7.01
486	135	4	21.28
217	104	10	18.06
573	282	4	37.77
101	375	11	28.59
101	525	5	9.54
354	136	3	11.73
118	377	3	8.64
749	183	4	33.97
150	4743	3	36.93
254	107	11	38.27
310	120	9	41.42
244	109	5	9.91
59	162	9	27.21
1018	14	6	14.06
4595	14	3	13.06
114	411	11	61.1
114	352	3	7.24
107	589	3	9.74
3449	12	3	12.04
220	9	3	7.05
179	692	4	32.28
110	1517	3	16.36
2936	16	4	32.93
149	296	3	11.68
149	161	5	12.97
746	102	3	5.05
1443	559	4	55.01
101	1602	4	15.97
101	1466	6	28.78
1300	14	5	12.66
136	1952	4	34.23
13	988	13	128.98
101	273	29	104.29
210	889	3	26.54
642	103	3	6.06
1329	14	4	8.23
768	12	11	37.41
117	1114	6	41.88
3552	12	3	12.04
258	154	5	24.09
120	104	42	39.57
167	278	4	21.35
101	1221	3	7.87
1635	101	3	9.99
2154	14	5	18.84
261	248	4	26.46
206	234	3	15.25
114	428	8	39.23
226	117	3	4.3
1244	488	3	36.99
777	142	3	18.03
159	104	10	6.73
131	249	7	29.55
12	4458	4	24.78
177	186	5	23.53
1360	150	5	45.31
2185	14	3	7.43
154	107	9	9.78
118	399	12	71.77
198	14	26	26.84
141	117	17	35.04
359	180	4	26.29
118	248	10	39.08
141	279	5	21.75
5502	2068	3	61.1
350	143	3	12.18
327	104	4	5.48
156	110	7	6.24
213	342	3	19.5
115	452	12	71.77
134	1061	3	19.07
120	121	17	19.73
39	197	23	162.6
107	6260	3	28.8
131	501	3	13.8
107	254	7	18.29
149	121	10	16.85
117	435	3	9.81
143	995	5	38.64
144	248	4	14.65
1772	103	3	12.77
1392	101	3	8.82
303	180	3	16.19
16	271	6	18.04
633	105	5	19.88
139	111	26	61.15
102	2410	3	12.7
16	196	8	20.24
989	12	3	4.03
112	102	140	221.62
112	242	4	6.96
114	617	5	24.07
158	228	7	37.55
454	16	10	57.37
102	612	5	11.33
111	1073	3	14.33
114	2070	5	39.49
147	12	55	49.47
101	827	3	5.57
379	109	6	22.02
336	180	10	83.17
213	852	4	37.56
104	306	4	4.75
1048	146	5	40.34
527	109	5	20.61
183	114	5	6.96
109	334	6	19.72
115	657	3	11.53
101	4352	3	17.39
142	276	3	9.94
1302	12	3	5.46
192	168	3	10.64
745	108	6	31.5
104	1321	4	17.82
138	136	6	7.97
190	152	4	12.96
297	144	3	10.94
108	101	124	143.08
2739	14	3	9.47
102	2259	4	20
393	579	3	29.88
219	547	4	33.99
300	644	5	51.63
102	882	5	15.58
658	2216	3	42.26
112	460	3	9.09
13	252	3	7.77
103	224	9	12.2
112	563	11	69.04
2096	119	5	41.69
1125	106	3	13.85
1907	102	5	24.61
108	213	4	5.05
706	104	3	7.51
104	1218	5	24.02
151	258	8	44.47
1236	12	6	18.79
105	813	3	10.55
101	2337	3	12.48
236	420	3	22.19
213	824	3	25.94
2491	120	3	21.96
359	884	3	31.72
2067	119	3	20.81
232	122	7	23.2
153	409	3	15.71
106	891	6	33.84
1527	14	3	5.46
421	132	3	12.69
249	391	3	22.22
136	144	8	16.11
435	104	11	45.04
289	156	4	19.49
134	392	4	18.66
236	125	3	6.63
165	135	4	6.86
393	16	3	8.64
160	102	40	82.96
411	410	3	27.89
122	257	3	6.18
1492	14	3	5.46
877	119	6	39.14
135	122	20	48.45
2155	101	3	11.51
1634	14	3	6.02
112	144	16	27.88
245	114	3	4.19
12	3637	3	12.04
